,Game ID,Team ID Home,Team ID Away,Points Home,Field Goals % Home,Free Throws % Home,3 Pt Field Goals % Home,Assists Home,Rebounds Home,Points Away,Field Goals % Away,Free Throws % Away,3 Pt Field Goals % Away,Assists Away,Rebounds Away
1294,21901308,1610612738,1610612764,90.0,0.3979999999999999,0.857,0.2289999999999999,22.0,51.0,96.0,0.386,0.75,0.385,22.0,56.0
1295,21901310,1610612747,1610612758,122.0,0.49,0.733,0.429,29.0,47.0,136.0,0.568,0.583,0.447,37.0,44.0
1296,21901311,1610612763,1610612749,119.0,0.5,0.696,0.3939999999999999,36.0,55.0,106.0,0.3979999999999999,0.652,0.317,27.0,45.0
1297,21901313,1610612756,1610612742,128.0,0.551,0.762,0.412,34.0,45.0,102.0,0.4379999999999999,0.8420000000000001,0.308,17.0,43.0
1298,21901314,1610612762,1610612759,118.0,0.465,0.9,0.326,25.0,43.0,112.0,0.494,0.667,0.5,24.0,44.0
1299,21901309,1610612751,1610612757,133.0,0.552,0.684,0.424,28.0,46.0,134.0,0.481,0.875,0.3329999999999999,25.0,42.0
1300,21901312,1610612753,1610612740,133.0,0.5710000000000001,0.733,0.536,25.0,33.0,127.0,0.552,0.778,0.294,22.0,40.0
1301,21901304,1610612745,1610612754,104.0,0.3720000000000001,0.857,0.281,20.0,49.0,108.0,0.4,0.773,0.355,25.0,54.0
1302,21901305,1610612755,1610612761,121.0,0.4639999999999999,0.7879999999999999,0.425,27.0,47.0,125.0,0.444,0.675,0.419,28.0,47.0
1303,21901306,1610612760,1610612748,116.0,0.4379999999999999,0.815,0.381,20.0,50.0,115.0,0.488,0.85,0.3329999999999999,24.0,40.0
1304,21901307,1610612743,1610612746,111.0,0.494,0.632,0.371,33.0,42.0,124.0,0.541,0.7829999999999999,0.3779999999999999,29.0,40.0
1305,21901297,1610612753,1610612751,96.0,0.386,0.862,0.304,13.0,49.0,108.0,0.4270000000000001,0.792,0.302,26.0,47.0
1306,21901298,1610612759,1610612745,123.0,0.495,0.9,0.406,28.0,59.0,105.0,0.4039999999999999,0.905,0.292,18.0,37.0
1307,21901299,1610612755,1610612756,117.0,0.495,0.7140000000000001,0.455,28.0,34.0,130.0,0.551,0.952,0.429,28.0,44.0
1308,21901301,1610612763,1610612738,107.0,0.3929999999999999,0.789,0.241,26.0,44.0,122.0,0.512,0.7829999999999999,0.4320000000000001,29.0,46.0
1309,21901300,1610612742,1610612757,131.0,0.519,0.818,0.455,28.0,37.0,134.0,0.469,0.931,0.395,18.0,48.0
1310,21901302,1610612758,1610612740,112.0,0.489,0.938,0.423,27.0,45.0,106.0,0.512,0.789,0.292,25.0,34.0
1311,21901303,1610612764,1610612749,113.0,0.411,0.767,0.3429999999999999,22.0,44.0,126.0,0.506,0.7140000000000001,0.474,25.0,53.0
1312,21901292,1610612756,1610612760,128.0,0.472,0.931,0.5,29.0,53.0,101.0,0.389,0.857,0.3329999999999999,24.0,40.0
1313,21901293,1610612762,1610612742,114.0,0.476,0.75,0.457,28.0,38.0,122.0,0.565,0.875,0.5,29.0,34.0
1314,21901294,1610612749,1610612761,106.0,0.3929999999999999,0.743,0.326,25.0,49.0,114.0,0.433,0.6920000000000001,0.3,24.0,55.0
