,Game ID,Team ID Home,Team ID Away,Points Home,Field Goals % Home,Free Throws % Home,3 Pt Field Goals % Home,Assists Home,Rebounds Home,Points Away,Field Goals % Away,Free Throws % Away,3 Pt Field Goals % Away,Assists Away,Rebounds Away
0,42000102,1610612755,1610612764,120.0,0.557,0.684,0.429,26.0,45.0,95.0,0.402,0.633,0.091,22.0,40.0
1,42000132,1610612752,1610612737,101.0,0.38299999999999995,0.7390000000000001,0.364,15.0,54.0,92.0,0.369,0.818,0.273,17.0,41.0
2,42000142,1610612762,1610612763,141.0,0.544,0.774,0.48700000000000004,28.0,42.0,129.0,0.541,0.763,0.348,20.0,33.0
3,42000112,1610612751,1610612738,130.0,0.523,0.955,0.447,31.0,46.0,108.0,0.424,0.7829999999999999,0.353,23.0,43.0
4,42000152,1610612756,1610612747,102.0,0.465,0.9329999999999999,0.308,21.0,31.0,109.0,0.45,0.871,0.303,24.0,39.0
5,42000172,1610612746,1610612742,121.0,0.536,0.9,0.39399999999999996,23.0,39.0,127.0,0.585,0.542,0.529,25.0,34.0
6,42000122,1610612749,1610612748,132.0,0.489,0.9,0.415,34.0,61.0,98.0,0.402,0.6859999999999999,0.28600000000000003,20.0,36.0
7,42000162,1610612743,1610612757,128.0,0.535,0.8,0.429,29.0,35.0,109.0,0.479,0.821,0.485,15.0,40.0
8,42000101,1610612755,1610612764,125.0,0.495,0.6970000000000001,0.313,27.0,40.0,118.0,0.557,0.8,0.4,26.0,41.0
9,42000151,1610612756,1610612747,99.0,0.465,0.833,0.321,24.0,47.0,90.0,0.434,0.607,0.26899999999999996,19.0,33.0
10,42000131,1610612752,1610612737,105.0,0.447,0.733,0.33299999999999996,21.0,49.0,107.0,0.467,0.917,0.353,17.0,42.0
11,42000141,1610612762,1610612763,109.0,0.42,0.879,0.255,20.0,50.0,112.0,0.45,0.7140000000000001,0.35,18.0,42.0
12,42000121,1610612749,1610612748,109.0,0.43799999999999994,0.606,0.161,19.0,64.0,107.0,0.364,0.789,0.4,22.0,51.0
