,Team,Wins,Losses,Pct
1,San Antonio Spurs,"2,227","1,394",0.615
2,Los Angeles Lakers,"3,427","2,331",0.595
3,Boston Celtics,"3,462","2,406",0.59
4,Utah Jazz,"2,060","1,726",0.544
5,Oklahoma City Thunder,"2,349","2,011",0.539
6,Portland Trail Blazers,"2,211","1,905",0.537
7,Phoenix Suns,"2,271","2,008",0.531
8,Houston Rockets,"2,286","2,074",0.524
9,Miami Heat,"1,378","1,261",0.522
10,Milwaukee Bucks,"2,231","2,048",0.521
11,Philadelphia 76ers,"2,949","2,746",0.518
12,Chicago Bulls,"2,258","2,176",0.509
13,Indiana Pacers,"1,823","1,799",0.503
14,Dallas Mavericks,"1,657","1,640",0.503
15,Denver Nuggets,"1,796","1,827",0.496
16,Atlanta Hawks,"2,807","2,884",0.493
17,New York Knicks,"2,840","3,019",0.485
18,Golden State Warriors,"2,826","3,031",0.483
19,Detroit Pistons,"2,773","2,979",0.482
20,Toronto Raptors,982,"1,082",0.476
21,Orlando Magic,"1,212","1,345",0.474
22,New Orleans Pelicans,704,818,0.463
23,Cleveland Cavaliers,"1,889","2,218",0.46
24,Sacramento Kings,"2,624","3,135",0.456
25,Washington Wizards,"2,187","2,654",0.452
26,Charlotte Hornets,"1,083","1,384",0.439
27,Brooklyn Nets,"1,533","2,089",0.423
28,Memphis Grizzlies,864,"1,201",0.418
29,Los Angeles Clippers,"1,706","2,408",0.415
30,Minnesota Timberwolves,"1,003","1,545",0.394
