,Team ID,Team Abbr,Team,Founded,City,Arena,Arena Capacity,Owner,General Manager,Head Coach,Conference,Games,Wins,Losses,Wins %,Record Home,Record Away
0,1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Lloyd Pierce,East,72,41,31,0.569,25-11,16-20
6448,1610612738,BOS,Celtics,1946,Boston,TD Garden,18624.0,Wyc Grousbeck,Danny Ainge,Brad Stevens,East,72,36,36,0.5,21-15,15-21
12898,1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Tom Benson,Trajan Langdon,Alvin Gentry,West,72,31,41,0.431,18-18,13-23
19346,1610612741,CHI,Bulls,1966,Chicago,United Center,21711.0,Jerry Reinsdorf,Gar Forman,Jim Boylen,East,72,31,41,0.431,15-21,16-20
25795,1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,West,72,42,30,0.583,21-15,21-15
32246,1610612743,DEN,Nuggets,1976,Denver,Pepsi Center,19099.0,Stan Kroenke,Tim Connelly,Michael Malone,West,72,47,25,0.653,25-11,22-14
38695,1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104.0,Tilman Fertitta,Daryl Morey,Mike D'Antoni,West,72,17,55,0.236,27-Sep,28-Aug
45145,1610612746,LAC,Clippers,1970,Los Angeles,Staples Center,19060.0,Steve Ballmer,Michael Winger,Doc Rivers,West,72,47,25,0.653,26-10,21-15
58041,1610612748,MIA,Heat,1988,Miami,AmericanAirlines Arena,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,East,72,40,32,0.556,21-15,19-17
64490,1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,East,72,46,26,0.639,26-10,20-16
70940,1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,19356.0,Glen Taylor,Scott Layden,Ryan Saunders,West,72,23,49,0.319,13-23,26-Oct
77390,1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Kenny Atkinson,East,72,48,24,0.667,28-8,20-16
83838,1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763.0,Cablevision (James Dolan),Steve Mills,David Fizdale,East,72,41,31,0.569,25-11,16-20
90288,1610612753,ORL,Magic,1989,Orlando,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,East,72,21,51,0.292,25-Nov,26-Oct
96736,1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Nate McMillan,East,72,34,38,0.472,13-23,21-15
103184,1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Brett Brown,East,72,49,23,0.6809999999999999,29-7,20-16
109632,1610612756,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,,Robert Sarver,James Jones,Monty Williams,West,72,51,21,0.708,27-9,24-12
116080,1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,West,72,42,30,0.583,20-16,22-14
122528,1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Vlade Divac,Luke Walton,West,72,31,41,0.431,16-20,15-21
128976,1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,West,72,33,39,0.458,14-22,19-17
135424,1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,19163.0,Clay Bennett,Sam Presti,Billy Donovan,West,72,22,50,0.306,26-Oct,24-Dec
141876,1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,19800.0,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,East,72,27,45,0.375,16-20,25-Nov
148324,1610612762,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,20148.0,Greg Miller,Dennis Lindsey,Quin Snyder,West,72,52,20,0.722,31-5,21-15
154772,1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins,West,72,38,34,0.528,18-18,20-16
161222,1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Scott Brooks,East,72,34,38,0.472,19-17,15-21
167672,1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,21000.0,Tom Gores,Ed Stefanski,Dwane Casey,East,72,20,52,0.278,13-23,29-Jul
174120,1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,James Borrego,East,72,33,39,0.458,18-18,15-21
180194,1610612739,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,20562.0,Dan Gilbert,Koby Altman,John Beilein,East,72,22,50,0.306,13-23,27-Sep
186642,1610612744,GSW,Warriors,1946,Golden State,Chase Center,19596.0,Joe Lacob,Bob Myers,Steve Kerr,West,72,39,33,0.542,25-11,14-22
